name,phone,email,location,engineer_level,equipment_types,experience_years
Rajesh Kumar,+919876543210,rajesh.kumar@company.com,Delhi NCR,3,MRI|CT Scanner|X-Ray,12
Priya Sharma,+919876543211,priya.sharma@company.com,Mumbai,2,Ultrasound|Patient Monitor|ECG,8
Amit Verma,+919876543212,amit.verma@company.com,Bangalore,3,Ventilator|Anesthesia Machine|ICU Equipment,15
Neha Gupta,+919876543213,neha.gupta@company.com,Chennai,1,Patient Monitor|Infusion Pump|ECG,3
Sanjay Patel,+919876543214,sanjay.patel@company.com,Pune,2,CT Scanner|X-Ray|Ultrasound,6
Kavita Singh,+919876543215,kavita.singh@company.com,Hyderabad,3,MRI|CT Scanner|Radiology Equipment,10
Vikram Malhotra,+919876543216,vikram.m@company.com,Ahmedabad,2,Ventilator|Patient Monitor|ICU Equipment,7
Anjali Reddy,+919876543217,anjali.reddy@company.com,Kolkata,1,Infusion Pump|ECG|General Equipment,2
Suresh Iyer,+919876543218,suresh.iyer@company.com,Kochi,3,Anesthesia Machine|Ventilator|OR Equipment,14
Deepika Nair,+919876543219,deepika.nair@company.com,Jaipur,2,X-Ray|Ultrasound|Imaging Equipment,9
